,author,content,description,publishedAt,title,url
13,Adam Cherry,"Former SNP MP Kenny MacAskill Won’t Hold By-Election After Defecting to Alba Party 
mdi-timer
March 28 2021 @ 09:42
mdi-share-variant
mdi-twitter
mdi-facebook
mdi-whatsapp
mdi-telegram
mdi-li… [+52 chars]",,2021-03-28T08:42:41Z,Former SNP MP Kenny MacAskill Won’t Hold By-Election After Defecting to Alba Party,https://order-order.com/2021/03/28/former-snp-mp-kenny-macaskill-wont-hold-by-election-after-defecting-to-alba-party/
14,https://www.facebook.com/bbcnews,"image captionSir Keir Starmer was in Scotland to meet his party's new Scottish leader
Sir Keir Starmer has said now is the time for recovery from the pandemic in Scotland, not for an independence re… [+3147 chars]","The Labour leader says the focus for the upcoming Scottish elections must be the economy, education and jobs.",2021-03-19T11:38:12Z,"Starmer: Time for recovery in Scotland, not a referendum",https://www.bbc.co.uk/news/uk-scotland-scotland-politics-56454561
15,,"The Scottish child payment is to double if the SNP are re-elected in May's election, the first minister has pledged.
Nicola Sturgeon told her party's campaign conference the weekly payments would in… [+192 chars]","The Scottish child payment is to double if the SNP are re-elected in May's election, the first minister has pledged.",2021-03-29T12:24:51Z,Holyrood 2021: 'Time to end the scandal of child poverty',https://www.bbc.co.uk/news/av/uk-scotland-56564216
16,Svetlana Ekimenko. Sputnik International,"Earlier, a second Scottish National Party MP defected to ex-First Minister Alex Salmonds Alba party, with polling experts suggesting the newly-formed nationalist and pro-independence party could depr… [+5548 chars]","Earlier, a second Scottish National Party MP defected to ex-First Minister Alex Salmond’s Alba party, with polling experts suggesting the newly-formed nationalist and pro-independence party could deprive Nicola Sturgeon of the majority she seeks as a mandate …",2021-03-29T12:24:23Z,Sturgeon Blasts Treating Politics ‘Like a Game' Amid Spate of Defections from SNP to Salmond’s Alba,https://sputniknews.com/uk/202103291082480167-sturgeon-blasts-treating-politics-like-a-game-amid-spate-of-defections-from-snp-to-salmonds-alba/
17,Simon Johnson,"Nicola Sturgeon is considering putting a second independence referendum on the Holyrood election ballot paper - PA
Nicola Sturgeon is preparing to ramp up pressure on Boris Johnson to drop his oppos… [+3680 chars]",Nicola Sturgeon is preparing to ramp up pressure on Boris Johnson to drop his opposition to a second independence referendum by putting the issue on the...,2021-03-16T11:36:16Z,SNP applies to put 'Indyref2' on Holyrood election ballot paper,https://news.yahoo.com/snp-applies-put-indyref2-holyrood-113616345.html
18,Stephen Bush,"There will be a by-election in Airdrie and Shotts: Neil Gray, the SNP MP, is standing down in order to run for the same constituency in the Scottish Parliament. Wholl win?
The Airdrie and Shotts by-… [+4095 chars]","The SNP have cleverly defused what could have been a dangerous by-election – and thrown Labour’s Hartlepool headache into sharp relief.

 
"" data-adaptive-image-768-img="""" data-adaptive-image-1024-img="""" data-adaptive-image-max-img="""">


There will be a by…",2021-03-24T18:25:27Z,Who’ll win the Airdrie and Shotts by-election?,https://www.newstatesman.com/politics/devolution/2021/03/who-ll-win-airdrie-and-shotts-election
19,https://www.facebook.com/bbcnews,"image copyrightGetty Images
image captionMr Rennie's speech will be broadcast during the party's virtual conference
The Liberal Democrats can stop the SNP winning an overall majority at the forthco… [+2822 chars]",The party's Scottish leader predicts it can wins seats in every region of the country on 6 May.,2021-03-06T09:59:06Z,Scottish Liberal Democrat election gains 'can stop SNP majority',https://www.bbc.co.uk/news/uk-scotland-scotland-politics-56300050
20,Georgina Hayes,"Ms Webber also described party leader Douglas Ross as out of his mind for refusing to oppose crazy travel bans - PA
A Tory candidate set to be elected in May has come under fire after it was reveale… [+4113 chars]",A Tory candidate set to be elected in May has come under fire after it was revealed that she accused politicians and the media of “creating panic and fear...,2021-03-11T18:23:50Z,Tory Holyrood candidate under fire for 'offensive' comments on public sector pay and Covid,https://news.yahoo.com/tory-holyrood-candidate-under-fire-182350232.html
21,Yves Smith,"Beverly Cleary, Beloved Childrens Book Author, Dies at 104 New York Times (David L)
I Have Come to Bury Ayn Rand Nautilus (Anthony L)
Scientists Pin Down When Earths Crust Cracked, Then Came to Lif… [+9134 chars]","Our popular links: Beverly Cleary RIP, plate cracks, climate acopalypse, chemical treats, variant data, black market vaccines, Salmond, Brexit, Iran, border crisis to worsen? Georgia vote row. ship stuck, gunz, showdown in Bessemer",2021-03-27T10:55:57Z,Links 3/27/2020,https://www.nakedcapitalism.com/2021/03/links-3-27-2020-2.html
22,Svetlana Ekimenko. Sputnik International,"Scotlands First Minister Nicola Sturgeon vowed in January that she intended to hold a legal referendum on independence from the UK if she wins Scottish elections scheduled for May, despite Prime Mini… [+5495 chars]","Scotland’s First Minister Nicola Sturgeon vowed in January that she intended to hold a “legal referendum” on independence from the UK if she wins Scottish elections scheduled for May, despite Prime Minister Boris Johnson vehemently opposing another secession …",2021-03-12T08:47:31Z,"UK PM to Reportedly Warn Against ‘Reckless’ 2nd Scottish Referendum, Mulls Covert Unionist Strategy",https://sputniknews.com/uk/202103121082321508-uk-pm-to-reportedly-warn-against-reckless-2nd-scottish-referendum-mulls-covert-unionist-strategy/
23,https://www.facebook.com/bbcnews,"Voters across Scotland will go to the polls on 6 May to elect members of the Scottish Parliament (MSPs). 
The vote is now held every five years, and this will be the sixth election in its history.
… [+4727 chars]",Everything you need to know ahead of the Scottish Parliament election on 6 May.,2021-03-24T22:55:59Z,Scottish Parliament election 2021: A really simple guide,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-54825291
24,Chris Deerin,"By the end of the no-confidence debate at the Scottish parliament earlier this week, it had become hard to tell who had no confidence in whom. What began as an attempt by the Conservatives to unseat … [+5565 chars]","Under new leader Anas Sarwar, Scottish Labour has cause to hope it can supplant the Tories as the official opposition.

 
"" data-adaptive-image-768-img="""" data-adaptive-image-1024-img="""" data-adaptive-image-max-img="""">


By the end of the no-confidence deb…",2021-03-25T13:16:24Z,Will Labour or the Conservatives win the battle for second place in the Scottish election?,https://www.newstatesman.com/politics/staggers/2021/03/will-labour-or-conservatives-win-battle-second-place-scottish-election
25,https://www.facebook.com/bbcnews,"By Philip SimBBC Scotland News
image copyrightGetty Images
The return of Alex Salmond to the political fray will send a shockwave through the Holyrood election campaign. 
Few would have imagined i… [+3957 chars]",The return of Alex Salmond to the political fray will send a shockwave through the Holyrood campaign.,2021-03-26T16:37:16Z,What does Alex Salmond's new party mean for the election?,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-56541753
26,Chris Deerin,Can Nicola Sturgeon survive the coming onslaught over her handling of the Alex Salmond scandal? Regardless of the hopes entertained by her political opponents and her internal critics united in panti… [+4691 chars],"The First Minister is unlikely to survive any failure to secure a pro-independence majority at the Scottish election.
 

 
"" data-adaptive-image-768-img="""" data-adaptive-image-1024-img="""" data-adaptive-image-max-img="""">


Can Nicola Sturgeon survive the co…",2021-03-19T11:19:46Z,"Nicola Sturgeon won’t resign, but the Salmond scandal could yet be her downfall",https://www.newstatesman.com/politics/uk/2021/03/nicola-sturgeon-won-t-resign-salmond-scandal-could-yet-be-her-downfall
27,Gordon Rayner,"Nicola Sturgeon and Alex Salmond
Its very clear that Nicola Sturgeon is damaged goods and her days are numbered. She is by no means off the hook.
The sort of verdict you might expect from a flag-wa… [+16642 chars]",“It’s very clear that Nicola Sturgeon is damaged goods and her days are numbered. She is by no means off the hook.” The sort of verdict you might expect from...,2021-03-26T14:58:28Z,Special report: Sturgeon clings to tarnished crown after inquiries ‘lift lid on the sewer’ of SNP politics,https://news.yahoo.com/special-report-sturgeon-clings-tarnished-145828396.html
28,Stephen Bush,"An American film producer is accused of multiple counts of sexual harassment. He is fired from his production company, stripped of his accolades and, eventually, convicted and imprisoned. Five thousa… [+5616 chars]","Opinion polls show support for Scottish independence is falling, and the root of the problem for Nicola Sturgeon’s party can be traced back to a laboratory in Oxford. 

 
"" data-adaptive-image-768-img="""" data-adaptive-image-1024-img="""" data-adaptive-image-m…",2021-03-10T14:29:03Z,"The Alex Salmond inquiry has failed to unsettle the SNP, but the vaccine roll-out might",https://www.newstatesman.com/politics/uk/2021/03/alex-salmond-inquiry-has-failed-unsettle-snp-vaccine-roll-out-might
29,"Jack Maidment, James Tapsfield","Tory MPs have blasted Nicola Sturgeon over her pre-election pledge to boost the pay of NHS staff by four per cent as they claimed she could never afford such a move if Scotland was independent.  
Th… [+9366 chars]",The SNP leader trolled Boris Johnson by announcing the policy last night in what critics viewed as a blatant giveaway as the Scottish election campaign formally gets underway.,2021-03-25T11:17:55Z,Tory MPs slam Nicola Sturgeon over NHS pay rise,https://www.dailymail.co.uk/news/article-9401489/Tory-MPs-slam-Nicola-Sturgeon-NHS-pay-rise.html
30,https://www.facebook.com/bbcnews,"image copyrightGetty Images
image captionAnas Sarwar succeeded Richard Leonard as Scottish Labour leader last month
Scottish Labour has unveiled plans for ""life-saving"" mental health workers in eve… [+3805 chars]","Anas Sarwar says improving access to treatment would be ""front and centre"" in Labour's recovery plan.",2021-03-29T11:40:49Z,Holyrood 2021: Labour pledges mental health staff for all GP clinics,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-56564897
31,Freddie Hayward,"Labour has traditionally been seen as a party of the north, the working class and Scotland. But each of these crucial voting blocs has come under serious strain in the past decade, most recently with… [+3844 chars]","Exclusive polling for the New Statesman finds Labour voters divided over the party’s identity, and lacking confidence that it can win back Scotland.

 
"" data-adaptive-image-768-img="""" data-adaptive-image-1024-img="""" data-adaptive-image-max-img="""">


Labou…",2021-03-04T16:10:48Z,Polling: Labour voters divided over whether Labour is the party of “the north” or “London”,https://www.newstatesman.com/politics/polling/2021/03/polling-labour-voters-divided-over-whether-labour-party-north-or-london
32,https://www.facebook.com/bbcnews,"image copyrightGetty Images
A bumper crop of elections will be held across England, Scotland and Wales on Thursday 6 May.
About 48 million people can vote to elect more than 5,000 to positions of p… [+4422 chars]","A bumper crop of elections are being held on 6 May across England, Scotland and Wales.",2021-03-23T17:22:45Z,2021 elections: A really simple guide,https://www.bbc.co.uk/news/uk-politics-56286643
33,Jon Stone,"The SNP would double Scotland's child benefit top-up payments if it is re-elected, Nicola Sturgeon has said.
The Scottish first minister said ending child poverty would be a ""driving mission"" for he… [+13408 chars]",Nicola Sturgeon says policy is a ‘downpayment’ on what could be achieved in independent Scotland,2021-03-29T12:05:06Z,SNP to double Scottish child benefit top-up if re-elected,https://www.independent.co.uk/news/uk/politics/snp-scottish-child-benefit-payment-sturgeon-b1823874.html
34,"Jack Wright, Gareth Rose, Glen Owen","The Scottish Health Secretary today defended her under-fire boss Nicola Sturgeon, claiming the First Minister has 'led by example' while accusing her critics of playing 'partisan politics' amid growi… [+42223 chars]",Jeane Freeman said leaks accusing the SNP leader of misleading the Scottish Parliament over her handling of sexual harassment claims against Alex Salmond broke the MSP Code of Conduct.,2021-03-21T11:31:16Z,Sturgeon row: Scottish Health Secretary Jeane Freeman dismisses calls for FM to quit,https://www.dailymail.co.uk/news/article-9385707/Sturgeon-row-Scottish-Health-Secretary-Jeane-Freeman-dismisses-calls-FM-quit.html
